user_id,category_id,item_title,item_counter_style,Quantity,detailed_descrip,selling_method,min_bid_amount,bid_increment,shipping_cost,Currency,reserve_price,quick_buy_price,bid_starting_date,start_delay,Status,Picture1,picture2,picture3,payment_gateway,expire_date,payment_id,tax,no_of_repost,features
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,1,"Mobile (cdma,gsm,tdma)",auction,200,10,10,$,250,400,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,2,"Mobile (cdma,gsm,tdma)",dutch_auction,600,10,10,$,800,1000,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,2,"Mobile (cdma,gsm,tdma)",dutch_auction,600,10,10,$,800,1000,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,2,"Mobile (cdma,gsm,tdma)",dutch_auction,600,10,10,$,800,1000,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,2,"Mobile (cdma,gsm,tdma)",dutch_auction,600,10,10,$,800,1000,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,2,"Mobile (cdma,gsm,tdma)",dutch_auction,600,10,10,$,800,1000,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,2,"Mobile (cdma,gsm,tdma)",dutch_auction,600,10,10,$,800,1000,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,2,"Mobile (cdma,gsm,tdma)",dutch_auction,600,10,10,$,800,1000,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,2,"Mobile (cdma,gsm,tdma)",dutch_auction,600,10,10,$,800,1000,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
14,4,Mobiles & Accessories,1,2,"Mobile (cdma,gsm,tdma)",dutch_auction,600,10,10,$,800,1000,22/01/2008,0,Active,,,,1,20/02/2008,1,0.5,2,yes
